"Scenario_1","Scenario_2","Scenario_3","Scenario_4","Scenario_5","Scenario_6","Scenario_7","Scenario_8","Scenario_9","Scenario_10","Date"
275.040040125927,480.932480392194,501.672655359607,-66.0450856010236,152.868352732997,-134.166498298026,188.82789917968,299.118179003084,202.299392913904,144.349179023301,2024-10-20 08:00:00
268.853073830094,474.889319015918,483.38961010132,-87.0804072029338,136.872696802331,-159.518944455738,171.913474901013,288.621309155511,182.730573379312,118.478935728379,2024-10-20 09:00:00
265.006768339151,468.188228681145,480.990515748202,-99.5644000645768,118.94986684551,-171.502064432998,153.262549060849,288.877052168604,170.349677262982,102.396212200031,2024-10-20 10:00:00
267.74249657132,464.490707710226,474.028145669611,-109.819418121455,116.868966120251,-180.760078543499,139.786503734923,284.574111052587,173.880495823473,88.3565578618668,2024-10-20 11:00:00
264.508480222671,466.869055720687,468.098446723944,-110.836198752831,113.100242468176,-180.259272412371,132.28465226484,280.447710075736,164.950744663053,69.6075881218073,2024-10-20 12:00:00
269.426200908071,457.164905870515,475.275556695954,-112.737330926083,119.430685724411,-189.79609211574,134.385693898346,282.960273562943,156.599538267732,80.9666562141317,2024-10-20 13:00:00
278.243825417872,456.661350860488,481.26558605185,-115.280087496523,124.817982935875,-189.123311398914,136.346280454079,281.641403516172,169.007446771632,75.5274097020987,2024-10-20 14:00:00
276.071669956719,462.924157958347,476.866888572649,-123.159791728937,132.878829288751,-201.707361582825,139.478616191049,277.804841077627,169.422537539993,80.2524949404012,2024-10-20 15:00:00
266.762521597537,470.306583158883,483.5996834161,-127.683406752485,138.074930139836,-202.07565401823,139.354340888141,274.087203487721,173.601495545355,82.7833541578449,2024-10-20 16:00:00
266.894243215456,474.472588733663,488.207319623589,-127.846455303717,141.211771696824,-187.486355653764,153.617814373129,278.866992097032,170.530318787343,103.334334546511,2024-10-20 17:00:00
278.017710251316,479.360817146038,493.644824066796,-107.601918751386,149.444646944966,-171.322840052356,146.309475511238,285.021881411751,184.88072621396,118.638223142196,2024-10-20 18:00:00
295.045998232382,491.847685673386,510.64164487238,-63.9475003154093,164.977758436014,-151.70374724003,172.354616744162,298.323188177568,213.24252229884,145.226210230932,2024-10-20 19:00:00
319.022905448778,499.262505435173,523.627025834088,-13.0471040758932,178.778964605535,-144.936284523893,191.996238807246,311.591032727313,233.240168970693,166.945231306028,2024-10-20 20:00:00
320.760920700186,507.712056697609,523.673677980895,-13.4738624983072,178.893809552179,-144.040896619822,191.133521551777,318.233725670851,227.20300806494,160.040313098673,2024-10-20 21:00:00
308.14812671497,496.340033942701,509.570171796754,-57.1095337012054,163.516432508534,-165.692473097789,174.033835313583,314.481496042112,221.247394632948,137.179325661147,2024-10-20 22:00:00
300.206186877171,493.876812014987,509.457629619437,-59.488943435962,159.407194120337,-169.874970889672,156.251391475746,315.026708381478,217.475437414563,132.032509071554,2024-10-20 23:00:00
297.418747958006,493.868859355232,500.578174351674,-68.243369089789,143.224543004178,-170.005785673796,151.810911666167,317.751919177607,219.800089547115,124.642291516906,2024-10-21 00:00:00
